"Site","Zone","Year","Species","N"
"Castle Point","Midshore",2004,"Atalacmea fragilis",0
"Castle Point","Midshore",2004,"Buccinulum sp",0.202020202020202
"Castle Point","Midshore",2004,"Calliostoma punctulatum",0
"Castle Point","Midshore",2004,"Cellana ornata",1.61616161616162
"Castle Point","Midshore",2004,"Cellana radians",2.42424242424242
"Castle Point","Midshore",2004,"Cominella maculosa",0
"Castle Point","Midshore",2004,"Cominella virgata",0
"Castle Point","Midshore",2004,"Diloma aethiops",0.606060606060606
"Castle Point","Midshore",2004,"Haustrum haustorium",1.21212121212121
"Castle Point","Midshore",2004,"Haustrum scobina",4.64646464646465
"Castle Point","Midshore",2004,"Neothais scalaris",0
"Castle Point","Midshore",2004,"Nerita atramentosa",0
"Castle Point","Midshore",2004,"Notoacmea parviconoidea",87.4747474747475
"Castle Point","Midshore",2004,"Onchidella nigricans",0
"Castle Point","Midshore",2004,"Patelloida corticata",80
"Castle Point","Midshore",2004,"Plaxiphora caelata",0.202020202020202
"Castle Point","Midshore",2004,"Risellopsis varia",47.6767676767677
"Castle Point","Midshore",2004,"Siphonaria australis",16.3636363636364
"Castle Point","Midshore",2004,"Sypharochiton pelliserpentis",24.6464646464646
"Castle Point","Midshore",2004,"Taron dubius",0
"Castle Point","Midshore",2004,"Turbo smaragdus",0.606060606060606
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Atalacmea fragilis",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Buccinulum sp",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Calliostoma punctulatum",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Cellana ornata",0
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Cellana radians",31.9191919191919
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Cominella maculosa",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Cominella virgata",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Diloma aethiops",7.27272727272727
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Haustrum haustorium",1.41414141414141
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Haustrum scobina",1.61616161616162
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Neothais scalaris",0.202020202020202
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Nerita atramentosa",12.1212121212121
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Notoacmea parviconoidea",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Onchidella nigricans",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Patelloida corticata",1.81818181818182
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Plaxiphora caelata",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Risellopsis varia",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Siphonaria australis",5.25252525252525
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Sypharochiton pelliserpentis",6.86868686868687
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Taron dubius",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Turbo smaragdus",2.22222222222222
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Atalacmea fragilis",NA
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Buccinulum sp",NA
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Calliostoma punctulatum",NA
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Cellana ornata",0
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Cellana radians",22.3776223776224
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Cominella maculosa",NA
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Cominella virgata",NA
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Diloma aethiops",6.06060606060606
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Haustrum haustorium",1.16550116550117
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Haustrum scobina",2.0979020979021
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Neothais scalaris",0
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Nerita atramentosa",3.4965034965035
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Notoacmea parviconoidea",NA
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Onchidella nigricans",NA
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Patelloida corticata",0.932400932400932
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Plaxiphora caelata",NA
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Risellopsis varia",NA
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Siphonaria australis",0
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Sypharochiton pelliserpentis",3.26340326340326
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Taron dubius",NA
"Leigh - Caves","Transect #5 - 2ft above low water",1969,"Turbo smaragdus",11.6550116550117
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Atalacmea fragilis",0
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Buccinulum sp",0
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Calliostoma punctulatum",0
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Cellana ornata",1.01010101010101
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Cellana radians",19.3939393939394
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Cominella maculosa",0
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Cominella virgata",0
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Diloma aethiops",1.41414141414141
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Haustrum haustorium",0.808080808080808
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Haustrum scobina",0.808080808080808
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Neothais scalaris",0.202020202020202
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Nerita atramentosa",0.404040404040404
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Notoacmea parviconoidea",5.25252525252525
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Onchidella nigricans",0
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Patelloida corticata",10.7070707070707
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Plaxiphora caelata",0
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Risellopsis varia",6.06060606060606
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Siphonaria australis",95.7575757575758
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Sypharochiton pelliserpentis",4.24242424242424
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Taron dubius",0
"Leigh - Waterfall Rocks","~25 cm above Xiphophora (brown algae) zone",2004,"Turbo smaragdus",3.23232323232323
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Atalacmea fragilis",NA
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Buccinulum sp",NA
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Calliostoma punctulatum",NA
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Cellana ornata",2.62626262626263
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Cellana radians",46.8686868686869
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Cominella maculosa",NA
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Cominella virgata",NA
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Diloma aethiops",0.808080808080808
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Haustrum haustorium",0.606060606060606
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Haustrum scobina",6.26262626262626
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Neothais scalaris",0.606060606060606
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Nerita atramentosa",6.06060606060606
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Notoacmea parviconoidea",44.9494949494949
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Onchidella nigricans",4.24242424242424
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Patelloida corticata",33.9393939393939
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Plaxiphora caelata",NA
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Risellopsis varia",51.010101010101
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Siphonaria australis",10.5050505050505
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Sypharochiton pelliserpentis",6.06060606060606
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Taron dubius",NA
"Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",1969,"Turbo smaragdus",0.202020202020202
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Atalacmea fragilis",NA
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Buccinulum sp",NA
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Calliostoma punctulatum",NA
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Cellana ornata",0
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Cellana radians",1.41414141414141
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Cominella maculosa",NA
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Cominella virgata",NA
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Diloma aethiops",0.808080808080808
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Haustrum haustorium",0.606060606060606
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Haustrum scobina",0.808080808080808
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Neothais scalaris",0.202020202020202
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Nerita atramentosa",5.05050505050505
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Notoacmea parviconoidea",NA
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Onchidella nigricans",NA
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Patelloida corticata",15.7575757575758
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Plaxiphora caelata",NA
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Risellopsis varia",NA
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Siphonaria australis",0.202020202020202
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Sypharochiton pelliserpentis",8.88888888888889
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Taron dubius",NA
"Leigh - Waterfall Rocks","Transect #3 - 1ft above Xiphora",1969,"Turbo smaragdus",1.41414141414141
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Atalacmea fragilis",NA
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Buccinulum sp",NA
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Calliostoma punctulatum",NA
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Cellana ornata",0.404040404040404
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Cellana radians",46.2626262626263
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Cominella maculosa",NA
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Cominella virgata",NA
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Diloma aethiops",4.24242424242424
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Haustrum haustorium",1.41414141414141
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Haustrum scobina",8.08080808080808
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Neothais scalaris",0.404040404040404
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Nerita atramentosa",0
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Notoacmea parviconoidea",NA
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Onchidella nigricans",NA
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Patelloida corticata",24.6464646464646
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Plaxiphora caelata",NA
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Risellopsis varia",NA
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Siphonaria australis",1.41414141414141
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Sypharochiton pelliserpentis",2.02020202020202
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Taron dubius",NA
"Leigh - Waterfall Rocks","Transect#2 - 1ft above Xiphora - compare this one",1969,"Turbo smaragdus",0.606060606060606
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Atalacmea fragilis",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Buccinulum sp",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Calliostoma punctulatum",0
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Cellana ornata",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Cellana radians",2.02020202020202
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Cominella maculosa",0.808080808080808
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Cominella virgata",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Diloma aethiops",1.41414141414141
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Haustrum haustorium",1.61616161616162
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Haustrum scobina",4.04040404040404
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Neothais scalaris",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Nerita atramentosa",2.22222222222222
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Notoacmea parviconoidea",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Onchidella nigricans",0.202020202020202
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Patelloida corticata",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Plaxiphora caelata",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Risellopsis varia",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Siphonaria australis",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Sypharochiton pelliserpentis",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Taron dubius",NA
"Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",1969,"Turbo smaragdus",10.5050505050505
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Atalacmea fragilis",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Buccinulum sp",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Calliostoma punctulatum",0.202020202020202
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Cellana ornata",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Cellana radians",0.404040404040404
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Cominella maculosa",1.21212121212121
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Cominella virgata",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Diloma aethiops",2.22222222222222
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Haustrum haustorium",0.808080808080808
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Haustrum scobina",1.01010101010101
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Neothais scalaris",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Nerita atramentosa",0.808080808080808
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Notoacmea parviconoidea",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Onchidella nigricans",0
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Patelloida corticata",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Plaxiphora caelata",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Risellopsis varia",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Siphonaria australis",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Sypharochiton pelliserpentis",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Taron dubius",NA
"Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",1969,"Turbo smaragdus",10.1010101010101
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Atalacmea fragilis",0.202020202020202
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Buccinulum sp",0.404040404040404
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Calliostoma punctulatum",0
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Cellana ornata",0
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Cellana radians",1.21212121212121
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Cominella maculosa",0
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Cominella virgata",1.01010101010101
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Diloma aethiops",3.43434343434343
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Haustrum haustorium",1.61616161616162
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Haustrum scobina",7.07070707070707
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Neothais scalaris",0
