"Site","Zone","Year","Species","N"
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Nerita atramentosa",39.5959595959596
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Notoacmea parviconoidea",1.21212121212121
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Onchidella nigricans",0
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Patelloida corticata",0.404040404040404
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Plaxiphora caelata",7.67676767676768
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Risellopsis varia",4.44444444444444
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Siphonaria australis",3.23232323232323
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Sypharochiton pelliserpentis",38.7878787878788
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Taron dubius",0.404040404040404
"Rangitoto Island - Whites Beach","Oyster Level",2004,"Turbo smaragdus",1.21212121212121
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Atalacmea fragilis",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Buccinulum sp",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Calliostoma punctulatum",0
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Cellana ornata",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Cellana radians",0.404040404040404
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Cominella maculosa",0.606060606060606
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Cominella virgata",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Diloma aethiops",4.44444444444444
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Haustrum haustorium",0.808080808080808
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Haustrum scobina",0.202020202020202
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Neothais scalaris",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Nerita atramentosa",5.65656565656566
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Notoacmea parviconoidea",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Onchidella nigricans",1.81818181818182
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Patelloida corticata",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Plaxiphora caelata",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Risellopsis varia",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Siphonaria australis",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Sypharochiton pelliserpentis",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Taron dubius",NA
"Rangitoto Island - Whites Beach","Oyster Zone",1969,"Turbo smaragdus",2.82828282828283
"Red Beach - Whangaparaoa","Oyster Level",2004,"Atalacmea fragilis",0
"Red Beach - Whangaparaoa","Oyster Level",2004,"Buccinulum sp",0.202020202020202
"Red Beach - Whangaparaoa","Oyster Level",2004,"Calliostoma punctulatum",0
"Red Beach - Whangaparaoa","Oyster Level",2004,"Cellana ornata",0
"Red Beach - Whangaparaoa","Oyster Level",2004,"Cellana radians",0.202020202020202
"Red Beach - Whangaparaoa","Oyster Level",2004,"Cominella maculosa",0
"Red Beach - Whangaparaoa","Oyster Level",2004,"Cominella virgata",2.82828282828283
"Red Beach - Whangaparaoa","Oyster Level",2004,"Diloma aethiops",8.88888888888889
"Red Beach - Whangaparaoa","Oyster Level",2004,"Haustrum haustorium",0.404040404040404
"Red Beach - Whangaparaoa","Oyster Level",2004,"Haustrum scobina",31.1111111111111
"Red Beach - Whangaparaoa","Oyster Level",2004,"Neothais scalaris",0
"Red Beach - Whangaparaoa","Oyster Level",2004,"Nerita atramentosa",0
"Red Beach - Whangaparaoa","Oyster Level",2004,"Notoacmea parviconoidea",0.404040404040404
"Red Beach - Whangaparaoa","Oyster Level",2004,"Onchidella nigricans",0
"Red Beach - Whangaparaoa","Oyster Level",2004,"Patelloida corticata",0.202020202020202
"Red Beach - Whangaparaoa","Oyster Level",2004,"Plaxiphora caelata",1.61616161616162
"Red Beach - Whangaparaoa","Oyster Level",2004,"Risellopsis varia",0.808080808080808
"Red Beach - Whangaparaoa","Oyster Level",2004,"Siphonaria australis",1.61616161616162
"Red Beach - Whangaparaoa","Oyster Level",2004,"Sypharochiton pelliserpentis",14.1414141414141
"Red Beach - Whangaparaoa","Oyster Level",2004,"Taron dubius",0.404040404040404
"Red Beach - Whangaparaoa","Oyster Level",2004,"Turbo smaragdus",37.7777777777778
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Atalacmea fragilis",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Buccinulum sp",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Calliostoma punctulatum",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Cellana ornata",9.8989898989899
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Cellana radians",0.606060606060606
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Cominella maculosa",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Cominella virgata",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Diloma aethiops",0.606060606060606
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Haustrum haustorium",1.81818181818182
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Haustrum scobina",20.4040404040404
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Neothais scalaris",0
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Nerita atramentosa",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Notoacmea parviconoidea",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Onchidella nigricans",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Patelloida corticata",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Plaxiphora caelata",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Risellopsis varia",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Siphonaria australis",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Sypharochiton pelliserpentis",15.7575757575758
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Taron dubius",NA
"Red Beach - Whangaparaoa","Transect #1 - Oyster Level",1969,"Turbo smaragdus",10.9090909090909
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Atalacmea fragilis",NA
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Buccinulum sp",NA
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Calliostoma punctulatum",NA
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Cellana ornata",13.7373737373737
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Cellana radians",0.606060606060606
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Cominella maculosa",0.808080808080808
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Cominella virgata",NA
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Diloma aethiops",0.606060606060606
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Haustrum haustorium",1.01010101010101
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Haustrum scobina",31.1111111111111
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Neothais scalaris",1.41414141414141
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Nerita atramentosa",0
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Notoacmea parviconoidea",0.606060606060606
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Onchidella nigricans",8.28282828282828
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Patelloida corticata",1.21212121212121
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Plaxiphora caelata",1.61616161616162
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Risellopsis varia",NA
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Siphonaria australis",NA
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Sypharochiton pelliserpentis",18.3838383838384
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Taron dubius",NA
"Red Beach - Whangaparaoa","Transect #1 - Unspecified",1969,"Turbo smaragdus",13.1313131313131
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Atalacmea fragilis",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Buccinulum sp",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Calliostoma punctulatum",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Cellana ornata",6.66666666666667
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Cellana radians",0
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Cominella maculosa",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Cominella virgata",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Diloma aethiops",0.606060606060606
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Haustrum haustorium",1.21212121212121
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Haustrum scobina",25.2525252525252
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Neothais scalaris",0
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Nerita atramentosa",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Notoacmea parviconoidea",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Onchidella nigricans",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Patelloida corticata",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Plaxiphora caelata",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Risellopsis varia",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Siphonaria australis",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Sypharochiton pelliserpentis",10.5050505050505
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Taron dubius",NA
"Red Beach - Whangaparaoa","Transect #2 - Oyster Level",1969,"Turbo smaragdus",20.6060606060606
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Atalacmea fragilis",NA
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Buccinulum sp",NA
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Calliostoma punctulatum",NA
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Cellana ornata",6.06060606060606
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Cellana radians",0
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Cominella maculosa",5.85858585858586
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Cominella virgata",NA
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Diloma aethiops",0.404040404040404
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Haustrum haustorium",2.22222222222222
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Haustrum scobina",31.7171717171717
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Neothais scalaris",4.64646464646465
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Nerita atramentosa",0
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Notoacmea parviconoidea",0
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Onchidella nigricans",13.3333333333333
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Patelloida corticata",0.404040404040404
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Plaxiphora caelata",7.47474747474747
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Risellopsis varia",NA
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Siphonaria australis",NA
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Sypharochiton pelliserpentis",30.9090909090909
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Taron dubius",NA
"Red Beach - Whangaparaoa","Transect #2 - Unspecified",1969,"Turbo smaragdus",3.43434343434343
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Atalacmea fragilis",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Buccinulum sp",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Calliostoma punctulatum",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Cellana ornata",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Cellana radians",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Cominella maculosa",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Cominella virgata",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Diloma aethiops",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Haustrum haustorium",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Haustrum scobina",0.606060606060606
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Neothais scalaris",0.404040404040404
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Nerita atramentosa",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Notoacmea parviconoidea",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Onchidella nigricans",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Patelloida corticata",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Plaxiphora caelata",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Risellopsis varia",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Siphonaria australis",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Sypharochiton pelliserpentis",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Taron dubius",NA
"Red Beach - Whangaparaoa","Transect #3 - Hormosira Zone",1969,"Turbo smaragdus",65.2525252525252
"Whangarei","Area I - 0.5ft below oysters",1969,"Atalacmea fragilis",NA
"Whangarei","Area I - 0.5ft below oysters",1969,"Buccinulum sp",NA
"Whangarei","Area I - 0.5ft below oysters",1969,"Calliostoma punctulatum",NA
"Whangarei","Area I - 0.5ft below oysters",1969,"Cellana ornata",NA
"Whangarei","Area I - 0.5ft below oysters",1969,"Cellana radians",0
"Whangarei","Area I - 0.5ft below oysters",1969,"Cominella maculosa",0.202020202020202
"Whangarei","Area I - 0.5ft below oysters",1969,"Cominella virgata",NA
"Whangarei","Area I - 0.5ft below oysters",1969,"Diloma aethiops",30.5050505050505
"Whangarei","Area I - 0.5ft below oysters",1969,"Haustrum haustorium",0.606060606060606
"Whangarei","Area I - 0.5ft below oysters",1969,"Haustrum scobina",1.81818181818182
"Whangarei","Area I - 0.5ft below oysters",1969,"Neothais scalaris",0
"Whangarei","Area I - 0.5ft below oysters",1969,"Nerita atramentosa",40.8080808080808
"Whangarei","Area I - 0.5ft below oysters",1969,"Notoacmea parviconoidea",7.47474747474747
"Whangarei","Area I - 0.5ft below oysters",1969,"Onchidella nigricans",0
"Whangarei","Area I - 0.5ft below oysters",1969,"Patelloida corticata",NA
"Whangarei","Area I - 0.5ft below oysters",1969,"Plaxiphora caelata",NA
"Whangarei","Area I - 0.5ft below oysters",1969,"Risellopsis varia",NA
"Whangarei","Area I - 0.5ft below oysters",1969,"Siphonaria australis",NA
"Whangarei","Area I - 0.5ft below oysters",1969,"Sypharochiton pelliserpentis",5.25252525252525
"Whangarei","Area I - 0.5ft below oysters",1969,"Taron dubius",NA
"Whangarei","Area I - 0.5ft below oysters",1969,"Turbo smaragdus",0
"Whangarei","Area I - diagonally across oysters",1969,"Atalacmea fragilis",NA
"Whangarei","Area I - diagonally across oysters",1969,"Buccinulum sp",NA
"Whangarei","Area I - diagonally across oysters",1969,"Calliostoma punctulatum",NA
"Whangarei","Area I - diagonally across oysters",1969,"Cellana ornata",NA
"Whangarei","Area I - diagonally across oysters",1969,"Cellana radians",0
"Whangarei","Area I - diagonally across oysters",1969,"Cominella maculosa",0
"Whangarei","Area I - diagonally across oysters",1969,"Cominella virgata",NA
"Whangarei","Area I - diagonally across oysters",1969,"Diloma aethiops",2.82828282828283
"Whangarei","Area I - diagonally across oysters",1969,"Haustrum haustorium",0.202020202020202
"Whangarei","Area I - diagonally across oysters",1969,"Haustrum scobina",6.26262626262626
"Whangarei","Area I - diagonally across oysters",1969,"Neothais scalaris",0.202020202020202
"Whangarei","Area I - diagonally across oysters",1969,"Nerita atramentosa",19.1919191919192
"Whangarei","Area I - diagonally across oysters",1969,"Notoacmea parviconoidea",1.01010101010101
"Whangarei","Area I - diagonally across oysters",1969,"Onchidella nigricans",6.06060606060606
"Whangarei","Area I - diagonally across oysters",1969,"Patelloida corticata",NA
"Whangarei","Area I - diagonally across oysters",1969,"Plaxiphora caelata",NA
"Whangarei","Area I - diagonally across oysters",1969,"Risellopsis varia",NA
"Whangarei","Area I - diagonally across oysters",1969,"Siphonaria australis",NA
"Whangarei","Area I - diagonally across oysters",1969,"Sypharochiton pelliserpentis",3.43434343434343
"Whangarei","Area I - diagonally across oysters",1969,"Taron dubius",NA
"Whangarei","Area I - diagonally across oysters",1969,"Turbo smaragdus",0.202020202020202
"Whangarei","Area I - near bottom of oysters",1969,"Atalacmea fragilis",NA
"Whangarei","Area I - near bottom of oysters",1969,"Buccinulum sp",NA
"Whangarei","Area I - near bottom of oysters",1969,"Calliostoma punctulatum",NA
"Whangarei","Area I - near bottom of oysters",1969,"Cellana ornata",NA
"Whangarei","Area I - near bottom of oysters",1969,"Cellana radians",0.404040404040404
"Whangarei","Area I - near bottom of oysters",1969,"Cominella maculosa",0.404040404040404
"Whangarei","Area I - near bottom of oysters",1969,"Cominella virgata",NA
"Whangarei","Area I - near bottom of oysters",1969,"Diloma aethiops",3.23232323232323
"Whangarei","Area I - near bottom of oysters",1969,"Haustrum haustorium",1.01010101010101
"Whangarei","Area I - near bottom of oysters",1969,"Haustrum scobina",3.83838383838384
"Whangarei","Area I - near bottom of oysters",1969,"Neothais scalaris",0.808080808080808
"Whangarei","Area I - near bottom of oysters",1969,"Nerita atramentosa",36.1616161616162
"Whangarei","Area I - near bottom of oysters",1969,"Notoacmea parviconoidea",1.61616161616162
"Whangarei","Area I - near bottom of oysters",1969,"Onchidella nigricans",6.06060606060606
"Whangarei","Area I - near bottom of oysters",1969,"Patelloida corticata",NA
"Whangarei","Area I - near bottom of oysters",1969,"Plaxiphora caelata",NA
"Whangarei","Area I - near bottom of oysters",1969,"Risellopsis varia",NA
"Whangarei","Area I - near bottom of oysters",1969,"Siphonaria australis",0.404040404040404
"Whangarei","Area I - near bottom of oysters",1969,"Sypharochiton pelliserpentis",7.27272727272727
"Whangarei","Area I - near bottom of oysters",1969,"Taron dubius",NA
"Whangarei","Area I - near bottom of oysters",1969,"Turbo smaragdus",0.606060606060606
